accession	organism	tax_id	assembly_level	total_seq_len
GCF_030867095.1	Alligator mississippiensis	8496	Chromosome	2346779227
GCF_000455745.1	Alligator sinensis	38654	Scaffold	2270550999
GCF_958979055.1	Alnus glutinosa	3517	Chromosome	456761304
GCF_017589495.1	Alosa alosa	278164	Chromosome	854447983
GCF_046254945.1	Alosa pseudoharengus	34774	Scaffold	1050053806
GCF_018492685.1	Alosa sapidissima	34773	Chromosome	903564947
GCF_001642055.1	Alternaria alternata	5599	Scaffold	32990834
GCF_004154835.1	Alternaria arborescens	156630	Scaffold	33943449
GCF_024043155.1	Alternaria arbusti	232088	Scaffold	33977964
GCF_907166805.1	Alternaria atra	119953	Scaffold	39606256
GCF_013036055.1	Alternaria burnsii	1187904	Scaffold	32958128
GCF_024043145.1	Alternaria conjuncta	181017	Scaffold	36109959
GCF_042100115.1	Alternaria dauci	48095	Complete Genome	34906709
GCF_023757985.1	Alternaria ethzedia	181014	Scaffold	36016348
GCF_023758085.1	Alternaria hordeiaustralica	1187925	Scaffold	36958049
GCF_024043165.1	Alternaria incomplexa	1187928	Scaffold	33457300
GCF_024043175.1	Alternaria infectoria	45303	Scaffold	36515125
GCF_023757995.1	Alternaria metachromatica	283354	Scaffold	37283841
GCF_023758075.1	Alternaria novae-zelandiae	430562	Scaffold	37570309
GCF_024291825.1	Alternaria postmessia	1187938	Scaffold	34409470
GCF_020736505.1	Alternaria rosae	1187941	Contig	33831682
GCF_023758025.1	Alternaria triticimaculans	297637	Scaffold	36788567
GCF_023758065.1	Alternaria ventricosa	1187951	Scaffold	34687354
GCF_023758015.1	Alternaria viburni	566460	Scaffold	36351886
GCF_026212465.1	Amaranthus tricolor	29722	Chromosome	520084113
GCF_052857255.1	Amblyomma americanum	6943	Chromosome	2560440542
GCF_010909765.2	Amblyraja radiata	386614	Chromosome	2558784953
GCF_000471905.2	Amborella trichopoda	13333	Scaffold	706332640
GCF_040938575.1	Ambystoma mexicanum	8296	Chromosome	29117848270
GCF_036373705.1	Amia ocellicauda	2972642	Chromosome	989103751
GCF_949987685.1	Ammodytes marinus	146480	Chromosome	777819083
GCF_027887145.1	Ammospiza caudacuta	2857398	Chromosome	1241209685
GCF_027579445.1	Ammospiza nelsoni	2857394	Chromosome	1185463352
GCF_003019875.1	Amorphotheca resinae ATCC 22711	857342	Scaffold	28632918
GCF_019059575.1	Amphibalanus amphitrite	1232801	Contig	807604242
GCF_000090795.2	Amphimedon queenslandica	400682	Scaffold	164242647
GCF_022539595.1	Amphiprion ocellaris	80972	Chromosome	863468154
GCF_039555335.1	Amphiura filiformis	82378	Chromosome	1570979288
GCF_032362555.1	Amyelois transitella	680683	Complete Genome	327376598
GCF_900324465.3	Anabas testudineus	64144	Chromosome	555641398
GCF_040414725.1	Anabrus simplex	316456	Chromosome	6424016119
GCF_001540865.1	Ananas comosus	4615	Chromosome	381896302
GCF_050575085.1	Anarhichas minor	65739	Contig	643864434
GCF_004355925.1	Anarrhichthys ocellatus	433405	Scaffold	612774492
GCF_963932015.1	Anas acuta	28680	Chromosome	1189296988
GCF_047663525.1	Anas platyrhynchos	8839	Complete Genome	1261969826
GCF_028408465.1	Anastrepha ludens	28586	Chromosome	820766187
GCF_027943255.1	Anastrepha obliqua	95512	Chromosome	836742189
GCF_050908995.1	Andrena cerasifolii	2819439	Chromosome	369980408
GCF_009805555.1	Andrographis paniculata	175694	Contig	284308021
GCF_013347855.1	Anguilla anguilla	7936	Chromosome	979029243
GCF_018555375.3	Anguilla rostrata	7938	Chromosome	976090453
GCF_011630105.1	Anneissia japonica	1529436	Scaffold	589628371
GCF_022496945.1	Annulohypoxylon maeteangense	1927788	Scaffold	38245008
GCF_022578515.1	Annulohypoxylon truncatum	327061	Scaffold	38067699
GCF_035594765.1	Anolis carolinensis	28377	Chromosome	1850740401
GCF_037176765.1	Anolis sagrei	38937	Chromosome	1950830970
GCF_048569485.1	Anomaloglossus baeobatrachus	238106	Chromosome	6265077250
GCF_031753505.1	Anomalospiza imberbis	187417	Chromosome	1198243876
GCF_013758885.1	Anopheles albimanus	7167	Chromosome	172602732
GCF_943734665.1	Anopheles aquasalis	42839	Chromosome	176573000
GCF_016920715.1	Anopheles arabiensis	7173	Chromosome	256807969
GCF_943735745.2	Anopheles bellator	139047	Chromosome	169575294
GCF_943734685.1	Anopheles coluzzii	1518534	Chromosome	262602229
GCF_943734705.1	Anopheles coustani	139045	Chromosome	269983652
GCF_943734635.1	Anopheles cruzii	68878	Chromosome	184069349
GCF_943734745.1	Anopheles darlingi	43151	Chromosome	181637336
GCF_943734845.2	Anopheles funestus	62324	Chromosome	250698078
GCF_943734735.2	Anopheles gambiae	7165	Chromosome	264451381
GCF_943734695.1	Anopheles maculipalpis	1496333	Chromosome	224059441
GCF_943734725.1	Anopheles marshallii	1521116	Chromosome	225712104
GCF_017562075.2	Anopheles merus	30066	Chromosome	294364394
GCF_943734755.1	Anopheles moucheti	186751	Chromosome	271316723
GCF_943737925.1	Anopheles nili	185578	Chromosome	195220701
GCF_013141755.1	Anopheles stephensi	30069	Chromosome	243460342
GCF_943734765.1	Anopheles ziemanni	345580	Chromosome	269983652
GCF_047496725.1	Anoplolepis gracilipes	354296	Chromosome	249841199
GCF_000390285.2	Anoplophora glabripennis	217634	Scaffold	706952781
GCF_027596085.1	Anoplopoma fimbria	229290	Chromosome	653543715
GCF_964034855.1	Anser brachyrhynchus	132585	Chromosome	1287320976
GCF_040182565.1	Anser cygnoides	8845	Chromosome	1215337776
GCF_016432865.1	Antechinus flavipes	38775	Chromosome	3192643918
GCF_963402885.1	Antedon bifida	72669	Chromosome	319614875
GCF_964355755.1	Antedon mediterranea	105859	Chromosome	354494601
GCF_040054535.1	Antennarius striatus	241820	Chromosome	548561997
GCF_022605725.1	Anthonomus grandis grandis	2921223	Chromosome	697452952
GCF_050436995.1	Anticarsia gemmatalis	129554	Chromosome	391691109
GCF_000700745.2	Antrostomus carolinensis	279965	Scaffold	1118829799
GCF_030222135.1	Aotus nancymaae	37293	Contig	3097886253
GCF_000703405.1	Apaloderma vittatum	57397	Scaffold	1070836417
GCF_000520075.1	Aphanomyces astaci	112090	Scaffold	75844385
GCF_000520115.1	Aphanomyces invadans	157072	Scaffold	71402472
GCF_041296385.1	Aphelocoma coerulescens	39617	Chromosome	1330898477
GCF_014905175.1	Aphidius gifuensis	684658	Chromosome	156944493
GCF_020184175.1	Aphis gossypii	80765	Chromosome	334855424
GCF_038362705.1	Apiospora aurea	335848	Contig	49776134
GCF_038363865.1	Apiospora hydei	1337664	Contig	47384980
GCF_038363985.1	Apiospora kogelbergensis	1337665	Contig	46602209
GCF_038362585.1	Apiospora marii	335849	Contig	51094086
GCF_038363925.1	Apiospora phragmitis	2905665	Contig	52445507
GCF_003942205.1	Apiotrichum porosum	105984	Contig	25479456
GCF_029169275.1	Apis cerana	7461	Chromosome	223040589
GCF_000469605.1	Apis dorsata	7462	Scaffold	230340171
GCF_000184785.3	Apis florea	7463	Scaffold	228997396
GCF_014066325.1	Apis laboriosa	183418	Scaffold	226063288
GCF_003254395.2	Apis mellifera	7460	Chromosome	225234541
GCF_009905375.1	Apium graveolens	4045	Chromosome	3332577507
GCF_010093885.1	Aplosporella prunicola CBS 121167	1176127	Scaffold	32818685
GCF_000002075.1	Aplysia californica	6500	Scaffold	927296314
GCF_947179515.1	Apodemus sylvaticus	10129	Chromosome	2889785202
GCF_037975245.1	Apostichopus japonicus	307972	Chromosome	671643915
GCF_000699145.1	Aptenodytes forsteri	9233	Scaffold	1254347440
GCF_965638725.1	Aptenodytes patagonicus	9234	Chromosome	1352580174
GCF_036417845.1	Apteryx mantelli	2696672	Chromosome	1504396159
GCF_003343035.1	Apteryx rowi	308060	Scaffold	1228902913
GCF_020740795.1	Apus apus	8895	Chromosome	1100361224
GCF_042186555.1	Aquarana catesbeiana	8400	Chromosome	6377618952
GCF_900496995.4	Aquila chrysaetos chrysaetos	223781	Chromosome	1233704830
GCF_000004255.2	Arabidopsis lyrata subsp. lyrata	81972	Scaffold	206667935
GCF_000001735.4	Arabidopsis thaliana	3702	Chromosome	119146348
GCF_000817695.3	Arachis duranensis	130453	Chromosome	1081735204
GCF_003086295.3	Arachis hypogaea	3818	Chromosome	2557413415
GCF_000816755.2	Arachis ipaensis	130454	Chromosome	1353504219
GCF_014773155.1	Arachis stenosperma	217475	Chromosome	1328990366
GCF_007364275.1	Archocentrus centrarchus	63155	Chromosome	932930362
GCF_051622035.1	Arctopsyche grandis	121162	Chromosome	475702301
GCF_933775445.1	Argentina anserina	57926	Chromosome	236973942
GCF_947563725.1	Argiope bruennichi	94029	Chromosome	1778384155
GCF_041381155.1	Argopecten irradians	31199	Chromosome	845889701
GCF_905147365.1	Aricia agestis	91739	Chromosome	435265205
GCF_029961685.1	Aristolochia californica	171875	Scaffold	661636370
GCF_024139115.2	Armigeres subalbatus	124917	Chromosome	1335741332
GCF_032884065.1	Artemia franciscana	6661	Chromosome	1270721945
GCF_004000055.1	Arthrobotrys flagrans	97331	Contig	36645795
GCF_011692745.1	Arthroderma uncinatum	74035	Contig	23563256
GCF_021234435.1	Artibeus jamaicensis	9417	Scaffold	2108389339
GCF_011762505.2	Arvicanthis niloticus	61156	Chromosome	2496761438
GCF_903992535.2	Arvicola amphibius	1047088	Chromosome	2297766297
GCF_036370985.1	Arxiozyma heterogenica	278026	Contig	14370535
GCF_040206685.1	Ascaphus truei	8439	Chromosome	3722616900
GCF_004011695.2	Ascochyta rabiei	5454	Complete Genome	40846718
GCF_001661345.1	Ascoidea rubescens DSM 1968	1344418	Scaffold	17503998
GCF_001876935.1	Asparagus officinalis	4686	Chromosome	1187538024
GCF_003184765.1	Aspergillus aculeatinus CBS 121060	1448322	Scaffold	36471649
GCF_001890905.1	Aspergillus aculeatus ATCC 16872	690307	Scaffold	35424414
GCF_023601865.1	Aspergillus affinis	1070780	Scaffold	37565501
GCF_009176365.1	Aspergillus alliaceus	209559	Scaffold	40168528
GCF_047715705.1	Aspergillus ambiguus	176160	Scaffold	29374911
GCF_001792695.1	Aspergillus bombycis	109264	Contig	37474605
GCF_001889945.1	Aspergillus brasiliensis CBS 101740	767769	Scaffold	35804080
GCF_003184695.1	Aspergillus brunneoviolaceus CBS 621.78	1450534	Scaffold	37477200
GCF_009193585.1	Aspergillus caelatus	61420	Scaffold	40016351
GCF_002847485.1	Aspergillus campestris IBT 28561	1392248	Contig	28257496
GCF_002847045.1	Aspergillus candidus	41067	Scaffold	27317772
GCF_016861735.1	Aspergillus chevalieri	182096	Complete Genome	29697343
GCF_000002715.2	Aspergillus clavatus NRRL 1	344612	Scaffold	27859441
GCF_003184835.1	Aspergillus costaricaensis CBS 115574	1448317	Scaffold	36947918
GCF_003184535.1	Aspergillus eucalypticola CBS 122712	1448314	Contig	34792412
GCF_003184825.1	Aspergillus fijiensis CBS 313.89	1448319	Scaffold	36513906
GCF_000149645.3	Aspergillus fischeri NRRL 181	331117	Scaffold	31377515
GCF_009017415.1	Aspergillus flavus	5059	Complete Genome	37749288
GCF_047715535.1	Aspergillus foveolatus	210207	Scaffold	31779079
GCF_000002655.1	Aspergillus fumigatus Af293	330879	Chromosome	29384958
GCF_001890805.1	Aspergillus glaucus CBS 516.65	1160497	Scaffold	27993362
GCF_003184545.1	Aspergillus heteromorphus CBS 117.55	1448321	Contig	35607567
GCF_003184865.1	Aspergillus homomorphus CBS 101889	1450537	Scaffold	34054866
GCF_003184845.1	Aspergillus ibericus CBS 121593	1448316	Scaffold	33437983
GCF_003184785.1	Aspergillus japonicus CBS 114.51	1448312	Scaffold	36099954
GCF_047715665.1	Aspergillus karnatakaensis	1810916	Scaffold	36255367
GCF_010724455.1	Aspergillus lentulus	293939	Scaffold	30229310
GCF_016861625.1	Aspergillus luchuensis	1069201	Complete Genome	37256495
GCF_044049455.1	Aspergillus lucknowensis	176173	Scaffold	30792796
GCF_016097325.1	Aspergillus melleus	138277	Contig	38850827
GCF_047715735.1	Aspergillus multicolor	41759	Scaffold	35254497
GCF_003369625.1	Aspergillus mulundensis	1810919	Scaffold	45341896
GCF_003184625.1	Aspergillus neoniger CBS 115656	1448310	Scaffold	35416444
GCF_000011425.1	Aspergillus nidulans FGSC A4	227321	Chromosome	29828291
GCF_000002855.4	Aspergillus niger	5061	Scaffold	33975768
GCF_003184595.1	Aspergillus niger CBS 101883	1450533	Scaffold	35853610
GCF_001204775.2	Aspergillus nomiae NRRL 13137	1509407	Contig	36137300
GCF_002847465.1	Aspergillus novofumigatus IBT 16806	1392255	Contig	32440129
GCF_002846915.1	Aspergillus ochraceoroseus IBT 24754	1392256	Contig	27718211
GCF_000184455.2	Aspergillus oryzae RIB40	510516	Chromosome	37882812
GCF_003184755.1	Aspergillus piperis CBS 112811	1448313	Scaffold	35280331
GCF_044049435.1	Aspergillus pseudodeflectus	176178	Scaffold	39072803
GCF_009193645.1	Aspergillus pseudonomiae	1506151	Scaffold	37780514
GCF_009193445.1	Aspergillus pseudotamarii	132259	Scaffold	38243929
GCF_018340605.1	Aspergillus pseudoviridinutans	1517512	Scaffold	33330675
GCF_016861865.1	Aspergillus puulaauensis	1220207	Complete Genome	34318862
GCF_000600275.1	Aspergillus ruber CBS 135680	1388766	Scaffold	26209327
GCF_003184585.1	Aspergillus saccharolyticus JOP 1030-1	1450539	Scaffold	31096189
GCF_003184525.1	Aspergillus sclerotioniger CBS 115572	1450535	Contig	36720365
GCF_047715825.1	Aspergillus stella-maris	1810926	Scaffold	33998249
GCF_002849105.1	Aspergillus steynii IBT 23096	1392250	Contig	37847960
GCF_001890705.1	Aspergillus sydowii CBS 593.65	1036612	Scaffold	34381026
GCF_003426965.1	Aspergillus tanneri	1220188	Contig	38719388
GCF_000149615.1	Aspergillus terreus NIH2624	341663	Scaffold	29331195
GCF_002237265.1	Aspergillus thermomutatus	41047	Contig	30945974
GCF_013340325.1	Aspergillus tubingensis	5068	Scaffold	35047229
GCF_001078395.1	Aspergillus udagawae	91492	Scaffold	32252303
GCF_047715775.1	Aspergillus undulatus	1810928	Scaffold	32112944
GCF_003184745.1	Aspergillus uvarum CBS 121591	1448315	Scaffold	35850703
GCF_003184925.1	Aspergillus vadensis CBS 113365	1448311	Scaffold	35663374
GCF_001890125.1	Aspergillus versicolor CBS 583.65	1036611	Scaffold	33126810
GCF_018404265.1	Aspergillus viridinutans	75553	Scaffold	34888349
GCF_003344945.1	Aspergillus welwitschiae	1341132	Scaffold	37511876
GCF_001890725.1	Aspergillus wentii DTO 134E9	1073089	Scaffold	31350635
GCF_964374335.1	Astatotilapia calliptera	8154	Chromosome	933413188
GCF_032118995.1	Asterias amurensis	7602	Chromosome	491537102
GCF_902459465.1	Asterias rubens	7604	Chromosome	417601740
GCF_929443795.1	Astur gentilis	8957	Chromosome	1398011397
GCF_023375975.1	Astyanax mexicanus	7994	Chromosome	1373169186
GCF_917208135.1	Athalia rosae	37344	Chromosome	171955050
GCF_003259725.1	Athene cunicularia	194338	Scaffold	1157069330
GCF_965140245.1	Athene noctua	126797	Chromosome	1355857592
GCF_000143395.1	Atta cephalotes	12957	Scaffold	317671980
GCF_001594045.1	Atta colombica	520822	Scaffold	291257934
GCF_028453695.1	Augochlora pura	115077	Chromosome	304327187
GCF_000721775.1	Aureobasidium melanogenum CBS 110374	1043003	Scaffold	26203324
GCF_000721765.1	Aureobasidium namibiae CBS 147.97	1043004	Scaffold	25428601
GCF_000721785.1	Aureobasidium pullulans EXF-150	1043002	Scaffold	29621078
GCF_000721755.1	Aureobasidium subglaciale EXF-2481	1043005	Scaffold	25796716
GCF_000186865.1	Aureococcus anophagefferens	44056	Scaffold	56660572
GCF_035610405.1	Australozyma saopauloensis	291208	Complete Genome	12068158
GCF_001266775.1	Austrofundulus limnaeus	52670	Scaffold	866963281
GCF_000733215.1	Auxenochlorella protothecoides	3075	Scaffold	22924637
GCF_009819795.1	Aythya fuligula	219594	Chromosome	1126988109
GCF_000981445.1	Babesia bigemina	5866	Chromosome	13840936
GCF_000165395.2	Babesia bovis T2Bo	484906	Chromosome	8195476
GCF_024862765.1	Babesia caballi	5871	Contig	12779071
GCF_028658345.1	Babesia duncani	323732	Chromosome	10408054
GCF_000691945.2	Babesia microti strain RI	1133968	Chromosome	6395281
GCF_002897235.1	Babesia ovata	189622	Contig	14453397
GCF_002095265.1	Babesia sp. Xinjiang	462227	Scaffold	8447544
GCF_001661335.1	Babjeviella inositovora NRRL Y-12698	984486	Scaffold	15221050
GCF_041734735.1	Babylonia areolata	304850	Chromosome	1651990951
GCF_019456465.1	Bacidia gigantensis	2732470	Contig	33117897
GCF_032445375.1	Bacillus rossius redtenbacheri	93214	Chromosome	1605073380
GCF_023373825.1	Bactrocera dorsalis	27457	Chromosome	530310706
GCF_001853355.1	Bactrocera latifrons	174628	Scaffold	462489382
GCF_024586455.1	Bactrocera neohumeralis	98809	Chromosome	577326612
GCF_042242935.1	Bactrocera oleae	104688	Chromosome	468767170
GCF_016617805.1	Bactrocera tryoni	59916	Chromosome	570642875
GCF_949987535.1	Balaenoptera acutorostrata	9767	Chromosome	2772885358
GCF_009873245.2	Balaenoptera musculus	9771	Chromosome	2374852541
GCF_028023285.1	Balaenoptera ricei	2746895	Chromosome	2678442663
GCF_011004875.1	Balearica regulorum gibbericeps	100784	Chromosome	1221032548
GCF_947034865.1	Barbatula barbatula	135647	Chromosome	617646710
GCF_936440315.1	Barbus barbus	40830	Chromosome	1584913304
GCF_002220235.1	Bathycoccus prasinos	41875	Chromosome	14958006
GCF_000203795.2	Batrachochytrium dendrobatidis JAM81	684364	Scaffold	23810896
GCF_028537555.1	Battus philenor	42288	Scaffold	443215375
GCF_000338955.1	Baudoinia panamericana UAMH 10762	717646	Scaffold	21875620
GCF_000280675.1	Beauveria bassiana ARSEF 2860	655819	Scaffold	33693936
GCF_010883055.1	Belonocnema kinseyi	2817044	Chromosome	1538686255
GCF_918797505.1	Bemisia tabaci	7038	Chromosome	609949642
GCF_009727055.1	Benincasa hispida	102211	Chromosome	912951219
GCF_034508935.2	Berghia stephanieae	1287507	Chromosome	1120414447
GCF_048999995.1	Berkeleyomyces rouxiae	2035830	Contig	33322508
GCF_002563875.1	Besnoitia besnoiti	94643	Chromosome	58810784
GCF_026745355.1	Beta vulgaris subsp. vulgaris	3555	Chromosome	568751015
GCF_900634795.4	Betta splendens	158456	Chromosome	426984265
GCF_947172395.1	Bicyclus anynana	110368	Chromosome	457159770
GCF_021521415.1	Bidens hawaiensis	980011	Contig	3469122537
GCF_947242115.1	Biomphalaria glabrata	6526	Chromosome	850620091
GCF_028858645.1	Bipolaris maydis	5016	Scaffold	37785996
GCF_000523455.1	Bipolaris oryzae ATCC 44560	930090	Scaffold	31362097
GCF_000338995.1	Bipolaris sorokiniana ND90Pr	665912	Scaffold	34409167
GCF_000527765.1	Bipolaris victoriae FI3	930091	Scaffold	32829575
GCF_000523435.1	Bipolaris zeicola 26-R-13	930089	Scaffold	31267936
GCF_000754665.1	Bison bison bison	43346	Scaffold	2828015366
GCF_000151665.1	Blastocystis hominis	12968	Scaffold	18817245
GCF_000743755.1	Blastocystis sp. subtype 4	944170	Scaffold	12919355
GCF_000003525.1	Blastomyces dermatitidis ER-3	559297	Scaffold	66568269
GCF_000003855.2	Blastomyces gilchristii SLH14081	559298	Scaffold	75353942
GCF_963422515.1	Blennius ocellaris	195075	Chromosome	728728756
GCF_020726555.1	Boeremia exigua	749465	Contig	35322113
GCF_026225935.1	Boleophthalmus pectinirostris	150288	Scaffold	941488127
GCF_026151205.1	Bolinopsis microptera	2820187	Chromosome	265435384
GCF_027579735.1	Bombina bombina	8345	Chromosome	10019663791
GCF_024516045.1	Bombus affinis	309941	Chromosome	365123313
GCF_011952205.1	Bombus bifarius	103933	Scaffold	266784621
GCF_041682495.2	Bombus fervidus	203811	Chromosome	314276726
GCF_040668555.1	Bombus flavifrons	103934	Scaffold	310456995
GCF_024542735.1	Bombus huntii	85661	Chromosome	317402180
GCF_000188095.3	Bombus impatiens	132113	Scaffold	246856484
GCF_905332965.1	Bombus pascuorum	65598	Chromosome	307548333
GCF_014825855.1	Bombus pyrosoma	396416	Chromosome	254804690
GCF_910591885.1	Bombus terrestris	30195	Chromosome	392962041
GCF_051014615.1	Bombus vancouverensis nearcticus	2705178	Chromosome	345734396
GCF_011952255.1	Bombus vosnesenskii	207650	Scaffold	275577952
GCF_003987935.1	Bombyx mandarina	7092	Scaffold	398573003
GCF_030269925.1	Bombyx mori	7091	Chromosome	461688958
GCF_029378745.1	Bos indicus	9915	Chromosome	2663005763
GCF_003369695.1	Bos indicus x Bos taurus	30522	Chromosome	2680953056
GCF_032452875.1	Bos javanicus	9906	Chromosome	2972795249
GCF_027580195.1	Bos mutus	72004	Chromosome	2626900860
GCF_002263795.3	Bos taurus	9913	Chromosome	2770669782
GCF_051294905.1	Botryllus schlosseri	30301	Chromosome	495547953
GCF_014898295.1	Botrytis byssoidea	139641	Contig	42981876
GCF_000143535.2	Botrytis cinerea B05.10	332648	Complete Genome	42630066
GCF_014898535.1	Botrytis deweyae	2478750	Contig	44366920
GCF_013461495.1	Botrytis fragariae	1964551	Contig	41923773
GCF_014898465.1	Botrytis porri	87229	Contig	46789968
GCF_014898435.1	Botrytis sinoallii	1463999	Contig	61289320
GCF_040956055.1	Brachionichthys hirsutus	412623	Chromosome	406634837
GCF_052324685.1	Brachyhypopomus gauderio	698409	Chromosome	796923666
GCF_029030835.1	Brachyistius frenatus	100188	Contig	595935260
GCF_000005505.3	Brachypodium distachyon	15368	Chromosome	271163419
GCF_014529535.2	Bradysia coprophila	38358	Chromosome	309616504
GCF_001625305.1	Branchiostoma belcheri	7741	Scaffold	426108443
GCF_000003815.2	Branchiostoma floridae	7739	Chromosome	513445848
GCF_019207075.1	Branchiostoma floridae x Branchiostoma belcheri	2700040	Chromosome	405532174
GCF_015852565.1	Branchiostoma floridae x Branchiostoma japonicum	2700039	Chromosome	490782628
GCF_035083965.1	Branchiostoma lanceolatum	7740	Chromosome	458287516
GCF_020379485.1	Brassica napus	3708	Chromosome	1001499700
GCF_000695525.1	Brassica oleracea var. oleracea	109376	Chromosome	488593889
GCF_000309985.2	Brassica rapa	3711	Chromosome	352829610
GCF_004359215.1	Bremia lactucae	4779	Chromosome	115935664
GCF_011074885.1	Brettanomyces bruxellensis	5007	Complete Genome	13150648
GCF_011074865.1	Brettanomyces nanus	13502	Complete Genome	10117252
GCF_050580445.1	Brevipalpus obovatus	246614	Chromosome	67286437
GCF_023856365.1	Brienomyrus brachyistius	42636	Chromosome	988088817
GCF_000002995.4	Brugia malayi	6279	Scaffold	87155713
GCF_019923935.1	Bubalus bubalis	89462	Chromosome	2622444281
GCF_029407905.1	Bubalus kerabau	3119969	Chromosome	2898492518
GCF_964059595.1	Bucephala clangula	107022	Chromosome	1190922165
GCF_000710305.1	Buceros rhinoceros silvestris	175836	Scaffold	1065782791
GCF_023091745.1	Budorcas taxicolor	37181	Chromosome	2851638285
GCF_905171765.1	Bufo bufo	8384	Chromosome	5044744194
GCF_014858855.1	Bufo gargarizans	30331	Chromosome	4545465442
GCF_964188355.1	Buteo buteo	30397	Chromosome	1303682556
GCF_030347475.1	Cadophora gregata	51156	Contig	47765811
GCF_000004555.2	Caenorhabditis briggsae	6238	Chromosome	108384165
GCF_000002985.6	Caenorhabditis elegans	6239	Complete Genome	100272607
GCF_010183535.1	Caenorhabditis remanei	31234	Chromosome	130466896
GCF_000340665.2	Cajanus cajan	3821	Chromosome	590369945
GCF_041956535.1	Calcarisporiella thermophila	911321	Scaffold	28155144
GCF_001431845.1	Calidris pugnax	198806	Scaffold	1229094286
GCF_051401765.1	Calliopsis andreniformis	337506	Chromosome	1019251136
GCF_958450345.1	Calliphora vicina	7373	Chromosome	706524439
GCF_049354715.1	Callithrix jacchus	9483	Chromosome	2933409465
GCF_018977255.1	Callorhinchus milii	7868	Scaffold	991519186
GCF_003265705.2	Callorhinus ursinus	34884	Scaffold	2443852073
GCF_048772815.1	Callospermophilus lateralis	76772	Chromosome	4646974320
GCF_036013445.1	Caloenas nicobarica	187106	Chromosome	1285834579
GCF_964195595.1	Calonectris borealis	1323832	Chromosome	1366185058
GCF_003957555.1	Calypte anna	9244	Chromosome	1059687259
GCF_901933205.1	Camarhynchus parvulus	87175	Chromosome	1051609828
GCF_000633955.1	Camelina sativa	90675	Chromosome	641356059
GCF_004153795.1	Camellia sinensis	4442	Scaffold	3105212962
GCF_048773025.1	Camelus bactrianus	9837	Chromosome	2473901565
GCF_036321535.1	Camelus dromedarius	9838	Chromosome	2306603094
GCF_009834535.1	Camelus ferus	419612	Chromosome	2087077296
GCF_003227725.1	Camponotus floridanus	104421	Scaffold	284009182
GCF_033297395.1	Canariomyces notabilis	2074819	Scaffold	30991681
GCF_000182965.3	Candida albicans SC5314	237561	Chromosome	14282666
GCF_000026945.1	Candida dubliniensis CD36	573826	Complete Genome	14618422
GCF_024610255.1	Candida jiufengensis	497108	Scaffold	13666317
GCF_024628925.1	Candida margitis	1775924	Scaffold	12909612
GCF_017655625.1	Candida metapsilosis	273372	Scaffold	13093275
